mu	x_P	x_E	y_E	t_c
1.1	3	2.003501750875438	0.08404202101050524	4.135688052326781
1.1	3	2.00200100050025	0.08354177088544272	4.174674701750942
1.1	3	2.0005002501250626	0.08304152076038018	4.235983093021298
1.1	3	1.998999499749875	0.08204102051025512	4.166203671893099
1.1	3	1.9974987493746874	0.08154077038519258	4.212233634359442
1.1	3	1.9929964982491246	0.07953976988494246	4.257379956275245
1.1	3	1.991495747873937	0.0785392696348174	4.185901472796214
1.1	3	1.9899949974987494	0.07803901950975488	4.229441473249302
1.1	3	1.9869934967483742	0.07653826913456728	4.2123334496015135
1.1	3	1.9854927463731866	0.07603801900950474	4.263724787864072
1.1	3	1.983991995997999	0.07503751875937968	4.199363624569011
1.1	3	1.976488244122061	0.07153576788394196	4.207622791984906
1.1	3	1.9734867433716858	0.0705352676338169	4.286057592910312
1.1	3	1.9569784892446223	0.06303151575787894	4.298986031002208
1.1	3	1.9509754877438719	0.06053026513256628	4.350791964269653
1.1	3	1.9494747373686843	0.059529764882441216	4.283039432521613
1.1	3	1.9479739869934967	0.059029514757378686	4.313258582071247
1.1	3	1.946473236618309	0.058529264632316155	4.352534547755393
1.1	3	1.9419709854927463	0.056528264132066026	4.3524485693671915
1.1	3	1.935967983991996	0.054027013506753374	4.394412311589549
1.1	3	1.928464232116058	0.050525262631315654	4.346599530395264
1.1	3	1.9269634817408705	0.05002501250625312	4.3762640678580045
1.1	3	1.925462731365683	0.04952476238119059	4.4159364540366015
1.1	3	1.9164582291145573	0.04552276138069034	4.38902760305
1.1	3	1.9149574787393697	0.04502251125562781	4.420568186353421
1.1	3	1.910455227613807	0.04302151075537768	4.4051019323839595
1.1	3	1.902951475737869	0.0400200100050025	4.446681861575592
1.1	3	1.9014507253626813	0.03951975987993997	4.487786645125188
1.1	3	1.8984492246123061	0.03801900950475237	4.426403141424891
1.1	3	1.8969484742371185	0.03751875937968984	4.45307618630705
1.1	3	1.8939469734867433	0.03601800900450225	4.411237881138276
1.1	3	1.8909454727363681	0.03501750875437719	4.456181439890403
1.1	3	1.887943971985993	0.03401700850425212	4.5272391936927265
1.1	3	1.8864432216108054	0.03301650825412706	4.43572855802987
1.1	3	1.8819409704852426	0.03151575787893947	4.511270884032471
1.1	3	1.8774387193596798	0.029514757378689343	4.476697533953571
1.1	3	1.8744372186093046	0.02851425712856428	4.5296088442570595
1.1	3	1.8714357178589294	0.027013506753376687	4.471801305952488
1.1	3	1.8699349674837418	0.026513256628314157	4.491353666192207
1.1	3	1.8684342171085542	0.026013006503251623	4.513400705091887
1.1	3	1.8669334667333666	0.025512756378189092	4.539753872955701
1.1	3	1.862431215607804	0.023511755877938967	4.501208761752717
1.1	3	1.8519259629814908	0.01950975487743872	4.543385438794442
1.1	3	1.8489244622311156	0.018509254627313655	4.591616340066503
1.1	3	1.8444222111055528	0.01650825412706353	4.54078247228908
1.1	3	1.83991995997999	0.015007503751875937	4.599980458918082
1.1	3	1.8354177088544272	0.013006503251625811	4.551046960205315
1.1	3	1.8339169584792396	0.01250625312656328	4.566259032946438
1.1	3	1.832416208104052	0.012006003001500749	4.5826513594355305
1.1	3	1.8294147073536768	0.011005502751375688	4.621434084400568
1.1	3	1.8204102051025512	0.007503751875937968	4.612951671904794
1.1	3	1.8144072036018009	0.005502751375687844	4.713224796060722
1.1	3	1.809904952476238	0.0035017508754377185	4.616893831557157
1.1	3	1.8069034517258629	0.0025012506253126563	4.644540015243367
1.1	3	1.8009004502251125	0.0005002501250625312	4.726210483966622
