mu	x_P	x_E	y_E	t_c
1.1	1.05	0.2852176088044022	0.6448224112056028	1.241105214140906
1.1	1.05	0.28469234617308653	0.6448224112056028	1.2588839010363673
1.1	1.05	0.2841670835417709	0.6448224112056028	1.2848063972977446
1.1	1.05	0.2836418209104552	0.6443221610805402	1.2214770119178489
1.1	1.05	0.28311655827913956	0.6443221610805402	1.2343133084975533
1.1	1.05	0.2825912956478239	0.6443221610805402	1.2492214361341316
1.1	1.05	0.28206603301650823	0.6443221610805402	1.2678654562297884
1.1	1.05	0.2815407703851926	0.6443221610805402	1.2976084558770447
1.1	1.05	0.28101550775387696	0.6438219109554777	1.2282158252942474
1.1	1.05	0.28049024512256127	0.6438219109554777	1.2411896058595846
1.1	1.05	0.27996498249124563	0.6438219109554777	1.2563701050881941
1.1	1.05	0.27943971985992994	0.6438219109554777	1.2756815069192904
1.1	1.05	0.2789144572286143	0.6438219109554777	1.3100366509907473
1.1	1.05	0.27838919459729866	0.6433216608304152	1.2341596099760919
1.1	1.05	0.27786393196598297	0.6433216608304152	1.2471690788224108
1.1	1.05	0.27733866933466733	0.6433216608304152	1.2624597365565433
1.1	1.05	0.2768134067033517	0.6433216608304152	1.2821200819094152
1.1	1.05	0.276288144072036	0.6433216608304152	1.3213366448848975
1.1	1.05	0.27576288144072036	0.6428214107053526	1.239286285323972
1.1	1.05	0.27523761880940467	0.6428214107053526	1.252218083317969
1.1	1.05	0.27471235617808903	0.6428214107053526	1.26743073804559
1.1	1.05	0.2741870935467734	0.6428214107053526	1.2870298207759827
1.1	1.05	0.2736618309154577	0.6428214107053526	1.327398184709371
1.1	1.05	0.27313656828414207	0.6423211605802901	1.2435903828076436
1.1	1.05	0.27261130565282643	0.6423211605802901	1.256328432528025
1.1	1.05	0.27208604302151074	0.6423211605802901	1.271269199966609
1.1	1.05	0.2715607803901951	0.6423211605802901	1.290377275604638
1.1	1.05	0.2710355177588794	0.6423211605802901	1.3259457892101632
1.1	1.05	0.27051025512756377	0.6418209104552276	1.2470844749065768
1.1	1.05	0.26998499249624813	0.6418209104552276	1.2595197501743385
1.1	1.05	0.26945972986493244	0.6418209104552276	1.274011766278788
1.1	1.05	0.2689344672336168	0.6418209104552276	1.2922645912977935
1.1	1.05	0.26840920460230117	0.6418209104552276	1.3224695044579173
1.1	1.05	0.2678839419709855	0.641320660330165	1.2497984536142674
1.1	1.05	0.26735867933966984	0.641320660330165	1.2618374983692098
1.1	1.05	0.2668334167083542	0.641320660330165	1.275739164591143
1.1	1.05	0.2663081540770385	0.641320660330165	1.292892517950305
1.1	1.05	0.26578289144572287	0.641320660330165	1.3185489915636714
1.1	1.05	0.2652576288144072	0.6408204102051025	1.2517768351091767
1.1	1.05	0.26473236618309154	0.6408204102051025	1.2633473172211238
1.1	1.05	0.2642071035517759	0.6408204102051025	1.2765613884333376
1.1	1.05	0.2636818409204602	0.6408204102051025	1.292497905367991
1.1	1.05	0.26315657828914457	0.6408204102051025	1.314474430938146
1.1	1.05	0.26263131565782893	0.64032016008004	1.2530747506630833
1.1	1.05	0.26210605302651324	0.64032016008004	1.2641274208178706
1.1	1.05	0.2615807903951976	0.64032016008004	1.2766006562444518
1.1	1.05	0.2610555277638819	0.64032016008004	1.2913038284053335
1.1	1.05	0.2605302651325663	0.64032016008004	1.3103289894756123
1.1	1.05	0.26000500250125064	0.6398199099549774	1.2537534941492419
1.1	1.05	0.25947973986993494	0.6398199099549774	1.2642610112708481
1.1	1.05	0.2589544772386193	0.6398199099549774	1.2759773771658836
1.1	1.05	0.25842921460730367	0.6398199099549774	1.2894960827545205
1.1	1.05	0.257903951975988	0.6398199099549774	1.3061447359642635
1.1	1.05	0.25737868934467234	0.6398199099549774	1.3308305980296191
1.1	1.05	0.25685342671335665	0.6393196598299149	1.2638301096696167
1.1	1.05	0.256328164082041	0.6393196598299149	1.2748013198138588
1.1	1.05	0.2558029014507254	0.6393196598299149	1.2872194196655309
1.1	1.05	0.2552776388194097	0.6393196598299149	1.301936542139523
1.1	1.05	0.25475237618809404	0.6393196598299149	1.321238593886419
1.1	1.05	0.2542271135567784	0.6388194097048524	1.2629113690799092
1.1	1.05	0.2537018509254627	0.6388194097048524	1.2731676045526545
1.1	1.05	0.2531765882941471	0.6388194097048524	1.284582949113777
1.1	1.05	0.2526513256628314	0.6388194097048524	1.2977122169894841
1.1	1.05	0.25212606303151575	0.6388194097048524	1.3137700177842189
1.1	1.05	0.2516008004002001	0.6388194097048524	1.336954641807248
1.1	1.05	0.2510755377688844	0.6383191595797898	1.2711560293428372
1.1	1.05	0.2505502751375688	0.6383191595797898	1.2816678685192804
1.1	1.05	0.25002501250625314	0.6383191595797898	1.2934762426100863
1.1	1.05	0.24949974987493748	0.6383191595797898	1.3072766743204656
1.1	1.05	0.2489744872436218	0.6383191595797898	1.3247589271420626
1.1	1.05	0.24844922461230615	0.6383191595797898	1.3546530050841454
1.1	1.05	0.24792396198099048	0.6378189094547273	1.2785345422016907
1.1	1.05	0.24739869934967484	0.6378189094547273	1.2892313689174906
1.1	1.05	0.24687343671835918	0.6378189094547273	1.3013424346115006
1.1	1.05	0.24634817408704351	0.6378189094547273	1.3157009520070573
1.1	1.05	0.24582291145572785	0.6378189094547273	1.3345436401756998
1.1	1.05	0.2452976488244122	0.6373186593296648	1.2752280997741674
1.1	1.05	0.24477238619309655	0.6373186593296648	1.284979372327507
1.1	1.05	0.24424712356178088	0.6373186593296648	1.2957671662137102
1.1	1.05	0.24372186093046522	0.6373186593296648	1.308048865382659
